SKU,Title,Price,Brand,Warranty,Color,SeriesLaptop,PartNum,CPUgen,CPU,GraphicChip,RAM,Screen,Storage,MaxStoPortNum,SupportM2,OutVideoPort,ConnectPort,Wireless,Keyboard,OS,Size,Pin,Weight,LED,Accessories,Security,OptDrive,Feature 
201200081,"Laptop ASUS Vivobook X509MA BR270T ( 15.6"" HD/Intel Celeron N4020/4GB/256GB SSD/Windows 10 Home SL 64-bit/1.6kg)",6.990.000,ASUS,24,Bạc,VivoBook,BR270T,"Celeron , Intel Celeron N","Intel Celeron N4020 ( 1.10 GHz - 2.80 GHz / 4MB / 2 nhân, 2 luồng )",Intel UHD Graphics 600,1 x 4GB  DDR4  2666MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),"15.6"" ( 1366 x 768 ) HD  không cảm ứng , Màn hình chống lóa , VGA webcam",256GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.1 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 5.0","thường , có phím số , không đèn",Windows 10 Home SL 64-bit,36.02 x 23.49 x 2.29 cm,"2 cell  32 Wh , Pin liền",1.6 kg,không đèn,,Vân tay,,
1703122,"Laptop ASUS VivoBook S15 S510UQ-BQ483T (15.6"" FHD/i7-8550U/8GB/1TB HDD/940MX/Win10/1.7 kg)",20.990.000,ASUS,24,Vàng đồng,VivoBook,BQ483T,"Core i7 , Intel Core thế hệ thứ 8","Intel Core i7-8550U ( 1.8 GHz - 4.0 GHz / 8MB / 4 nhân, 8 luồng )",NVIDIA GeForce 940MX  2GB  Intel UHD Graphics 620,1 x 8GB  DDR4  2400MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),"15.6"" ( 1920 x 1080 ) Full HD  không cảm ứng , Màn hình chống lóa , HD webcam",1TB HDD 5400RPM,"1 x 2.5"" SATA , 1 x M.2 SATA",M.2 SATA,1 x HDMI,"1 x USB Type C , 1 x USB 3.0 , 2 x USB 2.0 , 1 x SD card slot","WiFi 802.11ac , Bluetooth 4.1","thường , không phím số , LED",Windows 10 Home SL 64-bit,36.1 x 24.3 x 1.79 cm,"3 cell  42 Wh , Pin liền",1.7 kg,không đèn,,Vân tay,,
1800020,"Laptop ASUS ZenBook UX430UA-GV261T (14"" FHD/i5-8250U/8GB/UHD 620/Win10/1.3 kg)",20.290.000,ASUS,24,Vàng đồng,ZenBook,GV261T,"Core i5 , Intel Core thế hệ thứ 8","Intel Core i5-8250U ( 1.6 GHz - 3.4 GHz / 6MB / 4 nhân, 8 luồng )",Intel UHD Graphics 620,8GB Onboard  LPDDR3  Không nâng cấp được ),"14"" ( 1920 x 1080 ) Full HD  không cảm ứng , Màn hình chống lóa , HD webcam",256GB SSD M.2 SATA /,1 x M.2 SATA/NVMe,M.2 SATA/NVMe,1 x micro HDMI,"1 x USB 3.1 Gen 1 Type C / DisplayPort , 1 x USB 3.0 , 1 x USB 2.0 , 1 x SD card slot","WiFi 802.11ac , Bluetooth 4.2","thường , không phím số , LED",Windows 10 Home SL 64-bit,32.4 x 22.5 x 1.59 cm,"3 cell  50 Wh , Pin liền",1.3 kg,không đèn,,,,
1800926,"Laptop ASUS FX503VM-E4087T (15.6"" FHD/i5-7300HQ/8GB/1TB HDD/GTX 1060/Win10/2.6 kg)",26.990.000,ASUS,24,Đen,FX Series,E4087T,"Core i5 , Intel Core thế hệ thứ 7","Intel Core i5-7300HQ ( 2.5 GHz - 3.5 GHz / 6MB / 4 nhân, 4 luồng )",NVIDIA GeForce GTX 1060  6GB  Intel HD Graphics 630,1 x 8GB  DDR4  2400MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam",1TB HDD 5400RPM,"1 x 2.5"" SATA , 1 x M.2 SATA",M.2 SATA,1 x HDMI,", 2 x USB 3.0 , 1 x USB 2.0 , 1 x SD card slot , LAN 1 Gb/s","WiFi 802.11ac , Bluetooth 4.2","thường , có phím số , LED",Windows 10 Home SL 64-bit,38.4 x 26.2 x 2.5 cm,"4 cell  64 Wh , Pin liền",2.6 kg,không đèn,,,,
1805407,"Laptop ASUS VivoBook A411UF-BV087T (14"" HD/i5-8250U/4GB/1TB HDD/MX130/Win10/1.4 kg)",14.490.000,ASUS,24,Vàng đồng,VivoBook,BV087T,"Core i5 , Intel Core thế hệ thứ 8","Intel Core i5-8250U ( 1.6 GHz - 3.4 GHz / 6MB / 4 nhân, 8 luồng )",NVIDIA GeForce MX130  2GB  Intel UHD Graphics 620,1 x 4GB Onboard  DDR4  2133MHz ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"14"" ( 1366 x 768 ) HD  không cảm ứng , Màn hình chống lóa , HD webcam",1TB HDD 5400RPM,"1 x 2.5"" SATA , 1 x M.2 SATA",M.2 SATA,1 x HDMI,"1 x USB Type C , 1 x USB 3.0 , 2 x USB 2.0 , 1 x SD card slot","WiFi 802.11ac , Bluetooth 4.1","thường , không phím số , không đèn",Windows 10 Home SL 64-bit,32.6 x 22.6 x 1.88 cm,"3 cell  42 Wh , Pin liền",1.4 kg,không đèn,,Vân tay,,
1808465,"Laptop ASUS TUF Gaming FX504GE-EN047T (15.6"" FHD/i7-8750H/8GB/1TB HDD/GTX 1050Ti/Win10/2.3 kg)",27.290.000,ASUS,24,Đen,TUF Gaming,EN047T,"Core i7 , Intel Core thế hệ thứ 8","Intel Core i7-8750H ( 2.2 GHz - 4.1 GHz / 9MB / 6 nhân, 12 luồng )",NVIDIA GeForce GTX 1050Ti  4GB  GDDR5 / Intel UHD Graphics 630,1 x 8GB  DDR4  2666MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),"15.6"" ( 1920 x 1080 ) Full HD  không cảm ứng , HD webcam",1TB HDD 5400RPM,"1 x 2.5"" SATA , 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,1 x HDMI,", 2 x USB 3.0 , 1 x USB 2.0 , LAN 1 Gb/s","WiFi 802.11ac , Bluetooth 5.0","thường , có phím số , LED",Windows 10 Home SL 64-bit,38 x 26 x 2.5 cm,"3 cell  48 Wh , Pin liền",2.3 kg,không đèn,,,,
1809023,"Laptop ASUS VivoBook X507UF-EJ078T (15.6"" FHD/i5-8250U/4GB/1TB HDD/MX130/Win10/1.7 kg)",14.190.000,ASUS,24,Xám,VivoBook,EJ078T,"Core i5 , Intel Core thế hệ thứ 8","Intel Core i5-8250U ( 1.6 GHz - 3.4 GHz / 6MB / 4 nhân, 8 luồng )",NVIDIA GeForce MX130  2GB  GDDR5 / Intel UHD Graphics 620,1 x 4GB  DDR4  2400MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),"15.6"" ( 1920 x 1080 ) Full HD  không cảm ứng , HD webcam",1TB HDD 5400RPM,"1 x 2.5"" SATA , 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,1 x HDMI,", 1 x USB 3.0 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11n , Bluetooth 4.0","thường , có phím số , không đèn",Windows 10 Home SL 64-bit,36.5 x 26.6 x 2.19 cm,"3 cell  33 Wh , Pin liền",1.7 kg,không đèn,,Vân tay,,
1809111,"Laptop ASUS VivoBook S14 S430UA-EB132T (14"" FHD/i5-8250U/4GB/1TB HDD/UHD 620/Win10/1.4 kg)",16.390.000,ASUS,24,Xám,VivoBook,EB132T,"Core i5 , Intel Core thế hệ thứ 8","Intel Core i5-8250U ( 1.6 GHz - 3.4 GHz / 6MB / 4 nhân, 8 luồng )",Intel UHD Graphics 620,1 x 4GB Onboard  DDR4  2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"14"" ( 1920 x 1080 ) Full HD  không cảm ứng , Màn hình chống lóa , HD webcam",1TB HDD 5400RPM,"1 x 2.5"" SATA , 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.0 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 4.1","thường , không phím số , LED",Windows 10 Home SL 64-bit,32.3 x 22.6 x 1.80 cm,"3 cell  42 Wh , Pin liền",1.4 kg,không đèn,,Vân tay,,
1809504,"Laptop ASUS ROG Strix SCAR II GL504GM-ES044T (15.6"" FHD/i7-8750H/16GB/1TB HDD/GTX 1060/Win10/2.4 kg)",45.490.000,ASUS,24,Đen,ROG,ES044T,"Core i7 , Intel Core thế hệ thứ 8","Intel Core i7-8750H ( 2.2 GHz - 4.1 GHz / 9MB / 6 nhân, 12 luồng )",NVIDIA GeForce GTX 1060  6GB  GDDR5 / Intel UHD Graphics 630,1 x 16GB  DDR4  2666MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng , HD webcam",128GB SSD M.2 NVMe / 1TB SSHD 5400RPM,"1 x 2.5"" SATA , 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,"1 x HDMI , 1 x mini DisplayPort","1 x USB 3.1 Gen 2 Type C , 2 x USB 3.1 Gen 1, 1 x USB 3.1 Gen 2 , 1 x SD card slot , LAN 1 Gb/s","WiFi 802.11ac , Bluetooth 5.0","thường , có phím số , LED",Windows 10 Home SL 64-bit,36.1 x 26.2 x 2.61 cm,"4 cell  66 Wh , Pin liền",2.4 kg,không đèn,,,,
1810992,"Laptop ASUS VivoBook S14 S430UA-EB002T (14"" FHD/i3-8130U/4GB/UHD 620/Win10/1.4 kg)",13.990.000,ASUS,24,Xám,VivoBook,EB002T,"Core i3 , Intel Core thế hệ thứ 8","Intel Core i3-8130U ( 2.2 GHz - 3.4 GHz / 4MB / 2 nhân, 4 luồng )",Intel UHD Graphics 620,1 x 4GB Onboard  DDR4  2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"14"" ( 1920 x 1080 ) Full HD  không cảm ứng , Màn hình chống lóa , HD webcam",256GB SSD M.2 SATA /,1 x M.2 SATA/NVMe,M.2 SATA/NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.0 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 4.2","thường , không phím số , LED",Windows 10 Home SL 64-bit,32.3 x 22.6 x 1.8 cm,"3 cell  42 Wh , Pin liền",1.4 kg,không đèn,,,,
19010046,"Laptop ASUS ZenBook 14 UX433FA-A6111T (14"" FHD/i7-8565U/8GB/512GB SSD/UHD 620/Win10/1.2 kg)",27.490.000,ASUS,24,Bạc,ZenBook,A6111T,"Core i7 , Intel Core thế hệ thứ 8","Intel Core i7-8565U ( 1.8 GHz - 4.6 GHz / 8MB / 4 nhân, 8 luồng )",Intel UHD Graphics 620,8GB Onboard  DDR3L  Không nâng cấp được ),"14"" ( 1920 x 1080 ) Full HD  không cảm ứng , HD webcam",512GB SSD M.2 NVMe /,1 x M.2 SATA/NVMe,M.2 SATA/NVMe,1 x HDMI,"1 x USB 3.1 Gen 2 Type C , 1 x USB 3.1 , 1 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 5.0","thường , không phím số , LED",Windows 10 Home SL 64-bit,31.9 x 19.9 x 1.59 cm,"3 cell  50 Wh , Pin liền",1.2 kg,không đèn,USB to LAN 1Gb/s,,,Bàn phím số tích hợp trên touchpad
19030194,"Laptop ASUS ZenBook 13 UX333FA-A4184T (13.3"" FHD/i5-8265U/8GB/512GB SSD/UHD 620/Win10/1.2 kg)",22.490.000,ASUS,24,Đỏ,ZenBook,A4184T,"Core i5 , Intel Core thế hệ thứ 8","Intel Core i5-8265U ( 1.6 GHz - 3.9 GHz / 6MB / 4 nhân, 8 luồng )",Intel UHD Graphics 620,8GB Onboard  LPDDR3  Không nâng cấp được ),"13.3"" ( 1920 x 1080 ) Full HD  không cảm ứng , HD webcam",512GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB 3.1 Gen 2 Type C , 1 x USB 3.1 , 1 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 5.0","thường , không phím số , LED",Windows 10 Home SL 64-bit,30.2 x 18.9 x 1.69 cm,"3 cell  50 Wh , Pin liền",1.2 kg,không đèn,USB to LAN 1GB,,,Bàn phím số tích hợp trên touchpad
19030238,"Laptop ASUS VivoBook A411UN-BV349T (14"" HD/i5-8250U/4GB/1TB HDD/MX150/Win10/1.4 kg)",15.190.000,ASUS,24,Xám,VivoBook,BV349T,"Core i5 , Intel Core thế hệ thứ 8","Intel Core i5-8250U ( 1.6 GHz - 3.4 GHz / 6MB / 4 nhân, 8 luồng )",NVIDIA GeForce MX150  2GB  GDDR5 / Intel UHD Graphics 620,1 x 4GB Onboard  DDR4 ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"14"" ( 1366 x 768 ) HD  không cảm ứng , HD webcam",1TB HDD 5400RPM,"1 x 2.5"" SATA , 1 x M.2 SATA",M.2 SATA,1 x HDMI,"1 x USB Type C , 1 x USB 3.0 , 2 x USB 2.0 , 1 x SD card slot","WiFi 802.11ac , Bluetooth 4.1","thường , không phím số , không đèn",Windows 10 Home SL 64-bit,32.6 x 22.6 x 1.88 cm,"3 cell  42 Wh , Pin liền",1.4 kg,không đèn,,Vân tay,,
19040979,"Laptop ASUS ZenBook Flip 13 UX362FA-EL205T (13.3"" FHD/i5-8265U/8GB/512GB SSD/UHD 620/Win10/1.3 kg)",24.990.000,ASUS,24,Xanh,ZenBook,EL205T,"Core i5 , Intel Core thế hệ thứ 8","Intel Core i5-8265U ( 1.6 GHz - 3.9 GHz / 6MB / 4 nhân, 8 luồng )",Intel UHD Graphics 620,8GB Onboard  LPDDR3  Không nâng cấp được ),"13.3"" ( 1920 x 1080 ) Full HD  cảm ứng , HD webcam",512GB SSD M.2 NVMe /,1 x M.2 SATA/NVMe,M.2 SATA/NVMe,1 x HDMI,"2 x USB Type C / DisplayPort , 1 x USB 2.0","WiFi 802.11ac , Bluetooth 5.0","thường , không phím số , LED",Windows 10 Home SL 64-bit,30.5 x 19.6 x 1.69 cm,"3 cell  50 Wh , Pin liền",1.3 kg,không đèn,Bút,,,Bàn phím số tích hợp trên touchpad
19060289,"Laptop ASUS VivoBook 15 A512DA-EJ422T (15"" FHD/R5-3500U/8GB/512GB SSD/Radeon Vega 8/Win10/1.6 kg)",14.790.000,ASUS,24,Xám,VivoBook,EJ422T,"Ryzen 5 , AMD Ryzen thế hệ thứ 3","AMD Ryzen 5 3500U ( 2.1 GHz - 3.7 GHz / 4MB / 4 nhân, 8 luồng )",Shared memory  GDDR5 / AMD Radeon Vega 8 Graphics,8GB (4GB + 4GB Onboard)  DDR4  2400MHz ( 2 Khe cắm / Hỗ trợ tối đa 12GB ),"15.6"" ( 1920 x 1080 ) Full HD  TN  không cảm ứng , Màn hình chống lóa , HD webcam",512GB SSD M.2 NVMe /,1 x M.2 SATA,M.2 SATA,1 x HDMI,"1 x USB 3.1 Gen 1 Type C , 1 x USB 3.1 Gen 1 , 2 x USB 2.0 , 1 x SD card slot , LAN 100 Mbps","WiFi 802.11ac , Bluetooth","thường , có phím số , không đèn",Windows 10 Home 64-bit,35.7 x 23 x 1.95 cm,2 cell  Pin liền,1.6 kg,không đèn,"Máy, adapter 45W, hộp carton",Vân tay,,
191007075,"Laptop ASUS ROG Strix G G531GT-AL007T (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1650/Win10/2.4 kg)",22.490.000,ASUS,24,Đen,ROG,90NR01L3-M06400,"Core i5 , Intel Core thế hệ thứ 9","Intel Core i5 9300H ( 2.4 GHz - 4.1 GHz / 8MB / 4 nhân, 8 luồng )",NVIDIA GeForce GTX 1650  4GB  GDDR5 / Intel UHD Graphics 630,1 x 8GB  DDR4  2666MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD  IPS  120Hz , không cảm ứng",512GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,", 3 x USB 3.1 , LAN 1 Gb/s","WiFi 802.11ac , Bluetooth 5.0","thường , không phím số , RGB",Windows 10,36 x 27.5 x 2.58 cm,3 cell  48 Wh,2.4 kg,RGB,,,,
191100982,"Laptop ASUS ZenBook 13 UX334FAC-A4060T (13"" FHD/i5-10210U/8GB/512GB SSD/Intel UHD/Win10/1.3kg)",24.490.000,ASUS,24,Bạc,ZenBook,A4060T,"Core i5 , Intel Core thế hệ thứ 10","Intel Core i5-10210U ( 1.6 GHz - 4.2 GHz / 6MB / 4 nhân, 8 luồng )",Intel UHD Graphics,8GB Onboard  Không nâng cấp được ),"13.3"" ( 1920 x 1080 ) Full HD  không cảm ứng , Màn hình chống lóa , HD webcam",512GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.1 , 1 x USB 2.0 , 1 x micro SD card slot , LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","thường , không phím số , LED",Windows 10,30.2 x 18.9 x 1.83 cm,"3 cell  50 Wh , Pin liền",1.3 kg,không đèn,"Túi đựng, Cáp USB 3.0 to RJ45",Khuôn mặt,,Màn hình phụ (ScreenPad) tích hợp trên TouchPad
200300362,"Laptop ASUS 15 X509MA-BR060T (15.6"" HD/Pentium Silver N5000/4GB/256GB SSD/UHD 605/Win10/1.8kg)",7.990.000,ASUS,24,Bạc,,90NB0Q31-M02330,"Pentium , Intel Pentium Silver","Intel Pentium Silver N5000 ( 1.1 GHz - 2.7 GHz / 4MB / 4 nhân, 4 luồng )",Intel UHD Graphics 605,1 x 4GB  DDR4 ( 1 Khe cắm / Hỗ trợ tối đa 8GB ),"15.6"" ( 1366 x 768 ) HD  không cảm ứng , HD webcam",256GB SSD M.2 NVMe /,"1 x 2.5"" SATA , 1 x M.2 NVMe",M.2 NVMe,1 x HDMI,"1 x USB Type C / DisplayPort , 1 x USB 3.1 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 4.1","thường , không phím số , không đèn",Windows 10 Home 64-bit,36.02 x 23.49 x 2.29 cm,"2 cell  32 Wh , Pin liền",1.8 kg,không đèn,,Vân tay,,
200300363,"Laptop ASUS D570DD-E4028T (15.6"" FHD/R5 3500U/8GB/256GB SSD/GeForce GTX 1050/Win10/2kg)",16.490.000,ASUS,24,Đen,,90NB0PK1-M00320,"Ryzen 5 , AMD Ryzen thế hệ thứ 3","AMD Ryzen 5 3500U ( 2.1 GHz - 3.7 GHz / 4MB / 4 nhân, 8 luồng )",NVIDIA GeForce GTX 1050  4GB  GDDR5 / AMD Radeon Vega 8 Graphics,1 x 8GB  DDR4  2400MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),"15.6"" ( 1920 x 1080 ) Full HD  không cảm ứng , HD webcam",256GB SSD M.2 NVMe /,"1 x 2.5"" SATA , 1 x M.2 NVMe",M.2 NVMe,1 x HDMI,"1 x USB Type C / DisplayPort , 1 x USB 3.0 , 2 x USB 2.0 , 1 x micro SD card slot , LAN 1 Gb/s","WiFi 802.11ac , Bluetooth 4.2","thường , có phím số , không đèn",Windows 10 Home 64-bit,37.4 x 25.6 x 2.19 cm,"3 cell  48 Wh , Pin liền",2 kg,không đèn,,,,
200301384,"Laptop ASUS TUF Gaming FX505DT-AL118T (15.6"" FHD 120Hz/R5 3550H/8GB/512GB SSD/GeForce GTX 1650/Win10/2.1kg)",17.990.000,ASUS,24,Xám,TUF Gaming,90NR02D1-M03400,"Ryzen 5 , AMD Ryzen thế hệ thứ 3","AMD Ryzen 5 3550H ( 2.1 GHz - 3.7 GHz / 4MB / 4 nhân, 8 luồng )",NVIDIA GeForce GTX 1650  4GB  GDDR5 / AMD Radeon Vega 8 Graphics,1 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),"15.6"" ( 1920 x 1080 ) Full HD  IPS  120Hz , không cảm ứng , Màn hình chống lóa , HD webcam",512GB SSD M.2 NVMe /,"1 x 2.5"" SATA , 1 x M.2 NVMe",M.2 NVMe,1 x HDMI,", 2 x USB 3.1 , 1 x USB 2.0 , LAN 1 Gb/s","WiFi 802.11ac , Bluetooth 4.2","thường , có phím số , LED",Windows 10 Home SL 64-bit,36.04 x 26.2 x 2.68 cm,"3 cell  48 Wh , Pin liền",2.1 kg,không đèn,"Adapter, dây nguồn",,,
200500683,"Laptop ASUS TUF Gaming FA506II-AL016T AL016T ( 15.6"" Full HD/ 144Hz/AMD Ryzen 7 4800H/8GB/512GB SSD/NVIDIA GeForce GTX 1650Ti/Windows 10 Home 64-bit/2.3kg)",23.990.000,ASUS,24,Xám,TUF Gaming,AL016T,"Ryzen 7 , AMD Ryzen thế hệ thứ 4","AMD Ryzen 7 4800H ( 2.9 GHz - 4.2 GHz / 8MB / 8 nhân, 16 luồng )",NVIDIA GeForce GTX 1650Ti  4GB  GDDR6 / AMD Radeon Graphics,1 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng",512GB SSD M.2 NVMe /,"1 x 2.5"" SATA , 1 x M.2 NVMe",M.2 NVMe,1 x HDMI,"1 x USB Type C / DisplayPort , 2 x USB 3.2 , 1 x USB 2.0 , 1 x micro SD card slot , LAN 1 Gb/s","WiFi 802.11ac , Bluetooth","thường , có phím số , RGB",Windows 10 Home 64-bit,35.9 x 25.6 x 2.47 cm,"3 cell  48 Wh , Pin liền",2.3 kg,không đèn,,,,
200500685,"Laptop ASUS 14 X409MA-BV034T (14"" HD/Pentium N5000/4GB/256GB SSD/UHD 605/Win10/1.6kg)",7.890.000,ASUS,24,Bạc,VivoBook,BV034T,"Pentium , Intel Pentium Silver","Intel Pentium Silver N5000 ( 1.1 GHz - 2.7 GHz / 4MB / 4 nhân, 4 luồng )",Intel UHD Graphics 605,1 x 4GB  DDR4  2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),"14"" ( 1366 x 768 ) HD  không cảm ứng , Màn hình chống lóa , VGA webcam",256GB SSD M.2 NVMe /,"1 x 2.5"" SATA , 1 x M.2 NVMe",M.2 NVMe,"1 x HDMI , 1 x DisplayPort","1 x USB Type C , 1 x USB 3.2 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 4.1","thường , không phím số , không đèn",Windows 10 Home 64-bit,32.5 x 21.6 x 2.31 cm,"2 cell  32 Wh , Pin liền",1.6 kg,không đèn,,,,
200600698,"Laptop ASUS Vivobook S433FA-EB053T 90NB0Q04-M00820 ( 14"" Full HD/Intel Core i5-10210U/8GB/512GB SSD/Windows 10 Home 64-bit/1.4kg)",18.490.000,ASUS,24,Đen,VivoBook,90NB0Q04-M00820,"Core i5 , Intel Core thế hệ thứ 10","Intel Core i5-10210U ( 1.6 GHz - 4.2 GHz / 6MB / 4 nhân, 8 luồng )",Intel UHD Graphics,8GB Onboard  DDR4  2666MHz  Không nâng cấp được ),"14"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam",512GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.1 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","thường , không phím số , LED",Windows 10 Home 64-bit,32.4 x 21.3 x 1.59 cm,"3 cell  50 Wh , Pin liền",1.4 kg,không đèn,,,,bàn phím số tích hợp Touch Pad
200600750,"Laptop ASUS Vivobook X409MA-BV157T BV157T ( 14"" HD/Intel Celeron N4020/4GB/256GB SSD/Windows 10 Home 64-bit/1.4kg)",6.890.000,ASUS,24,Bạc,VivoBook,BV157T,"Celeron , Intel Celeron N","Intel Celeron N4020 ( 1.10 GHz - 2.80 GHz / 4MB / 2 nhân, 2 luồng )",Intel UHD Graphics 600,1 x 4GB  DDR4  2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 8GB ),"14"" ( 1366 x 768 ) HD  TN  không cảm ứng , VGA webcam",256GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.2 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 4.1","thường , không phím số , không đèn",Windows 10 Home 64-bit,32.50 x 21.60 x 2.31 cm,"2 cell  32 Wh , Pin liền",1.4 kg,không đèn,,,,
200601138,Laptop Asus ROG Strix G15 G512-IAL013T - đen,24.490.000,ASUS,24,Đen,ROG,IAL013T,"Core i5 , Intel Core thế hệ thứ 10","Intel Core i5-10300H ( 2.5 GHz - 4.5 GHz / 8MB / 4 nhân, 8 luồng )",NVIDIA GeForce GTX 1650Ti  4GB  GDDR6 / Intel UHD Graphics,1 x 8GB  DDR4  2933MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng",512GB SSD M.2 NVMe /,3 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB Type C / DisplayPort , 3 x USB 3.2 , LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth","thường , không phím số , RGB",Windows 10 Home 64-bit,36 x 27.5 x 2.58 cm,"3 cell  48 Wh , Pin liền",2.4 kg,LED,,,,
200601139,"Laptop ASUS TUF Gaming FX505GT-HN111T HN111T ( 15.6"" Full HD/ 144Hz/Intel Core i5 9300H/8GB/512GB SSD/NVIDIA GeForce GTX 1650/Windows 10 Home 64-bit/2.2kg)",19.990.000,ASUS,24,Xám,TUF Gaming,HN111T,"Core i5 , Intel Core thế hệ thứ 9","Intel Core i5 9300H ( 2.4 GHz - 4.1 GHz / 8MB / 4 nhân, 8 luồng )",NVIDIA GeForce GTX 1650  4GB  GDDR5 / Intel UHD Graphics 630,1 x 8GB  DDR4  2666MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng , HD webcam",512GB SSD M.2 NVMe /,"1 x 2.5"" SATA , 1 x M.2 NVMe",M.2 NVMe,1 x HDMI,", 2 x USB 3.2 , 1 x USB 2.0 , LAN 1 Gb/s","WiFi 802.11ac , Bluetooth","thường , có phím số , RGB",Windows 10 Home 64-bit,35.9 x 25.6 x 2.49 cm,"3 cell  48 Wh , Pin liền",2.2 kg,không đèn,,,,
200601364,"Laptop ASUS B9450FA-BM0616R BM0616R ( 14"" Full HD/Intel Core i7-10510U/16GB/1TB SSD/Windows 10 Pro 64-bit/1kg)",49.990.000,ASUS,24,Đen,,BM0616R,"Core i7 , Intel Core thế hệ thứ 10","Intel Core i7-10510U ( 1.8 GHz - 4.9 GHz / 8MB / 4 nhân, 8 luồng )",Intel UHD Graphics,16GB Onboard  LPDDR3  2133MHz  Không nâng cấp được ),"14"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , Màn hình chống lóa , HD webcam",2 x 512GB SSD M.2 NVMe /,2 x M.2 NVMe,M.2 NVMe,1 x HDMI,", 1 x USB 3.1 , 2 x Thunderbolt 3 , LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","thường , không phím số , LED",Windows 10 Pro 64-bit,32 x 20.3 x 1.49 cm,"4 cell  66 Wh , Pin liền",1 kg,không đèn,,"Vân tay, Khuôn mặt",,Bàn phím số cảm ứng tích hợp trên touchpad (numberPad Touch)
