SKU,Title,Price,Brand,Warranty,Color,SeriesLaptop,PartNum,CPUgen,CPU,GraphicChip,RAM,Screen,Storage,MaxStoPortNum,SupportM2,OutVideoPort,ConnectPort,Wireless,Keyboard,OS,Size,Pin,Weight,LED,Accessories,Security,OptDrive,Feature
201000955,"Laptop ASUS Zenbook UX425EA BM069T ( 14"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Windows 10 Home 64-bit/1.2kg)",22.990.000,ASUS,24,Xám,ZenBook,BM069T,"Core i5 , Intel Core thế hệ thứ 11","Intel Core i5-1135G7 ( 4.2 GHz / 8MB / 4 nhân, 8 luồng )",Intel Iris Xe Graphics,1 x 8GB  LPDDR4X  4266MHz  Không nâng cấp được ),"14"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam",512GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,", 1 x USB 3.2 , 2 x Thunderbolt 3 , 1 x micro SD card slot","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","thường , không phím số , LED",Windows 10 Home 64-bit,31.9 x 20.8 x 1.39 cm,"4 cell  67 Wh , Pin liền",1.2 kg,không đèn,- USB-C to audio jack adapter- USB-A to RJ45 gigabit ethernet adapter- Túi đựng,Khuôn mặt,,Numberpad ảo tích hợp touchpad
200700378,"Laptop ASUS Vivobook X509JA-EJ543T EJ543T ( 15.6"" Full HD/Intel Core i3-1005G1/4GB/512GB SSD/Windows 10 Home SL 64-bit/1.7kg)",11.190.000,ASUS,24,Bạc,VivoBook,EJ543T,"Core i3 , Intel Core thế hệ thứ 10","Intel Core i3-1005G1 ( 1.2 GHz - 3.4 GHz / 4MB / 2 nhân, 4 luồng )",Intel UHD Graphics,1 x 4GB Onboard  DDR4  2666MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),"15.6"" ( 1920 x 1080 ) Full HD  không cảm ứng , Màn hình chống lóa , VGA webcam",512GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.1 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 5.0","thường , có phím số , không đèn",Windows 10 Home SL 64-bit,36.02 x 23.49 x 2.29 cm,"2 cell  32 Wh , Pin liền",1.7 kg,không đèn,,Vân tay,,
201201235,"Laptop ASUS Vivobook S533EA- BQ018T ( 15.6"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Windows 10 Home 64-bit/1.8kg)",19.290.000,ASUS,24,Đen,VivoBook,BQ018T,"Core i5 , Intel Core thế hệ thứ 11","Intel Core i5-1135G7 ( 4.2 GHz / 8MB / 4 nhân, 8 luồng )",Intel Iris Xe Graphics,1 x 8GB  DDR4  Không nâng cấp được ),"15.6"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , Màn hình chống lóa , HD webcam",512GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.2 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","thường , có phím số , LED",Windows 10 Home 64-bit,35.98 x 23.38 x 1.61 cm,"3 cell  50 Wh , Pin liền",1.8 kg,không đèn,,Vân tay,,
201201234,"Laptop ASUS Vivobook S533EA- BQ010T ( 15.6"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Windows 10 Home 64-bit/1.8kg)",19.290.000,ASUS,24,Trắng,VivoBook,BQ010T,"Core i5 , Intel Core thế hệ thứ 11","Intel Core i5-1135G7 ( 4.2 GHz / 8MB / 4 nhân, 8 luồng )",Intel Iris Xe Graphics,8GB Onboard  DDR4  Không nâng cấp được ),"15.6"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , Màn hình chống lóa , HD webcam",512GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.1 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","thường , có phím số , LED",Windows 10 Home 64-bit,35.98 x 23.38 x 1.61 cm,"3 cell  50 Wh , Pin liền",1.8 kg,không đèn,,Vân tay,,
201201496,Laptop Asus Zenbook UX363EA-HP130T,25.990.000,ASUS,24,Xám,ZenBook,HP130T,"Core i5 , Intel Core thế hệ thứ 11","Intel Core i5-1135G7 ( 4.2 GHz / 8MB / 4 nhân, 8 luồng )",Intel Iris Xe Graphics,1 x 8GB  LPDDR4X  4266MHz  Không nâng cấp được ),"13.3"" ( 1920 x 1080 ) Full HD  OLED  cảm ứng , HD webcam",512GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,", 1 x USB 3.2 , 2 x Thunderbolt 4","WiFi 802.11ax (Wifi 6) , Bluetooth","thường , không phím số , LED",Windows 10 Home 64-bit,30.5 x 21.10 x 1.39 cm,"4 cell  67 Wh , Pin liền",1.3 kg,không đèn,"Dây nguồn, túi, cáp chuyển đổi (USB-A to LAN, USB-C to Audio)",Khuôn mặt,,Numberpad ảo tích hợp touchpad
200900009,"Laptop ASUS Vivobook A512DA EJ1448T ( 15.6"" Full HD/AMD Ryzen 3 3250U/4GB/512GB SSD/Windows 10 Home 64-bit/1.7kg)",11.990.000,ASUS,24,Bạc,VivoBook,EJ1448T,"Ryzen 3 , AMD Ryzen thế hệ thứ 3","AMD Ryzen 3 3250U ( 2.6 GHz - 3.5 GHz / 4MB / 2 nhân, 4 luồng )",AMD Radeon Graphics,1 x 4GB Onboard  DDR4  2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"15.6"" ( 1920 x 1080 ) Full HD  TN  không cảm ứng , HD webcam",512GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.2 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 4.2","thường , có phím số , không đèn",Windows 10 Home 64-bit,35.7 x 23 x 1.99 cm,"2 cell  37 Wh , Pin liền",1.7 kg,không đèn,"Sạc, HDSD",Vân tay,,
201200479,"Laptop ASUS Zenbook UX325EA- EG079T ( 13.3"" Full HD/Intel Core i5-1135G7/8GB/256GB SSD/Windows 10 Home SL 64-bit/1.1kg)",21.990.000,ASUS,24,Xám,ZenBook,EG079T,"Core i5 , Intel Core thế hệ thứ 11","Intel Core i5-1135G7 ( 4.2 GHz / 8MB / 4 nhân, 8 luồng )",Intel Iris Xe Graphics,8GB Onboard  LPDDR4X  4266MHz  Không nâng cấp được ),"13.3"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , Màn hình chống lóa , HD webcam",256GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,", 1 x USB 3.1 , 2 x Thunderbolt , 1 x micro SD card slot","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","thường , không phím số , LED",Windows 10 Home SL 64-bit,30.42 x 20.3 x 1.39 cm,"4 cell  67 Wh , Pin liền",1.1 kg,không đèn,,Khuôn mặt,,Numberpad tích hợp touchpad
200601059,"Laptop ASUS D509DA-EJ286T 90NB0P51-M04840 ( 15.6"" Full HD/AMD Ryzen 5 3500U/4GB/256GB SSD/Windows 10 Home 64-bit/1.9kg)",12.190.000,ASUS,24,Bạc,,90NB0P51-M04840,"Ryzen 5 , AMD Ryzen thế hệ thứ 3","AMD Ryzen 5 3500U ( 2.1 GHz - 3.7 GHz / 4MB / 4 nhân, 8 luồng )",AMD Radeon Vega 8 Graphics,1 x 4GB Onboard  DDR4 ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"15.6"" ( 1920 x 1080 ) Full HD  không cảm ứng , Màn hình chống lóa , VGA webcam",256GB SSD M.2 NVMe /,"1 x 2.5"" SATA , 1 x M.2 NVMe",M.2 NVMe,1 x HDMI,"1 x USB Type C / DisplayPort , 1 x USB 3.1 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 4.2","thường , có phím số , không đèn",Windows 10 Home 64-bit,36 x 23.5 x 2.29 cm,"2 cell  32 Wh , Pin liền",1.9 kg,không đèn,,Vân tay,,
200500684,"Laptop ASUS VivoBook 14 A412FA-EK155T (14"" FHD/i3-8145U/4GB/1TB HDD/UHD 620/Win10/1.5kg)",11.490.000,ASUS,24,Bạc,VivoBook,EK155T,"Core i3 , Intel Core thế hệ thứ 8","Intel Core i3-8145U ( 2.1 GHz - 3.9 GHz / 4MB / 2 nhân, 4 luồng )",Intel UHD Graphics 620,1 x 4GB Onboard  DDR4 ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"14"" ( 1920 x 1080 ) Full HD  không cảm ứng , HD webcam",1TB HDD 5400RPM,"1 x 2.5"" SATA , 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.0 , 1 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 4.2","thường , không phím số , không đèn",Windows 10 Home SL 64-bit,32.2 x 21.2 x 1.9 cm,"2 cell  37 Wh , Pin liền",1.5 kg,không đèn,,Vân tay,,
201200079,"Laptop ASUS Zenbook UX425EA M066T ( 14"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Windows 10 Home 64-bit/1.2kg)",22.990.000,ASUS,24,Tím,ZenBook,M066T,"Core i5 , Intel Core thế hệ thứ 11","Intel Core i5-1135G7 ( 4.2 GHz / 8MB / 4 nhân, 8 luồng )",Intel Iris Xe Graphics,1 x 8GB  LPDDR4X  4266MHz  Không nâng cấp được ),"14"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam",512GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,", 1 x USB 3.2 , 2 x Thunderbolt 4 , 1 x micro SD card slot","WiFi 802.11ax (Wifi 6) , Bluetooth","thường , không phím số , LED",Windows 10 Home 64-bit,31.9 x 20.8 x 1.39 cm,"4 cell  67 Wh , Pin liền",1.2 kg,không đèn,"Dây nguồn, túi",Khuôn mặt,,
